order_date,product_id,category,quantity,revenue,unit_cost,margin,margin_rate,client_id,country,channel
2022-02-25,Boo-688077,Books,15,411.19,224.98,186.21,45.29,C-06990710,Poland,Web
2022-12-22,Bea-584550,Beauty,12,199.17,100.18,98.99,49.7,C-50752708,United Kingdom,App
2025-07-04,Mus-565259,Music,19,226.54,112.48,114.06,50.35,C-58739916,Brazil,Store
2024-07-11,Tra-887578,Travel,16,366.35,181.13,185.22,50.56,C-48088519,Norway,Marketplace
2024-03-23,Gar-726400,Garden,4,182.09,90.82,91.27,50.12,C-83828724,United States,Social Media
2024-12-22,Toy-645823,Toys,18,36.63,18.08,18.55,50.64,C-37474215,Brazil,Social Media
2024-12-22,Mus-205257,Music,9,41.8,21.29,20.51,49.07,C-47893692,Denmark,Phone
2024-03-16,Spo-092384,Sports,16,62.1,33.83,28.27,45.52,C-19038565,United States,Phone
2024-11-18,Boo-719183,Books,7,435.49,233.83,201.66,46.31,C-05034158,Norway,Store
2023-08-23,Aut-417958,Automotive,19,238.75,173.48,65.27,27.34,C-86152080,Canada,Phone
2023-07-22,Foo-474427,Food,11,357.88,178.52,179.36,50.12,C-39436251,United Kingdom,Web
2025-08-16,Boo-498803,Books,17,199.49,102.7,96.79,48.52,C-59020319,Norway,Store
2023-12-06,Gar-636741,Garden,5,133.06,61.51,71.55,53.77,C-28416438,Poland,Web
2023-09-04,Gar-362421,Garden,12,176.86,92.05,84.81,47.95,C-79560171,Sweden,App
2025-05-23,Toy-288664,Toys,19,398.12,197.54,200.58,50.38,C-46601117,Brazil,Web
2022-05-21,Spo-801265,Sports,2,314.48,177.36,137.12,43.6,C-72738987,France,App
2023-07-15,Bea-706707,Beauty,1,469.13,258.28,210.85,44.94,C-90845763,Switzerland,Marketplace
2023-05-14,Toy-585763,Toys,4,341.45,155.04,186.41,54.59,C-79377345,Belgium,Marketplace
2023-09-19,Toy-990614,Toys,11,287.24,134.94,152.3,53.02,C-39162899,Mexico,Store
2023-05-17,Foo-794575,Food,18,307.05,144.71,162.34,52.87,C-32651600,Belgium,Store
2024-01-11,Fur-875904,Furniture,16,471.47,291.56,179.91,38.16,C-96620664,Netherlands,Marketplace
2024-02-03,Spo-888564,Sports,10,395.16,206.62,188.54,47.71,C-44499409,Poland,Social Media
2025-04-29,Ele-087005,Electronics,12,16.9,12.11,4.79,28.34,C-06963273,Spain,App
2023-11-06,Toy-834970,Toys,2,269.4,155.35,114.05,42.33,C-28304596,Mexico,Email
2022-02-18,Hea-588083,Health,1,345.73,192.9,152.83,44.21,C-29902571,Norway,Phone
2025-10-18,Off-365185,Office,10,375.61,209.81,165.8,44.14,C-72803068,Brazil,Marketplace
2023-09-19,Fur-082159,Furniture,10,110.51,54.26,56.25,50.9,C-10064712,Germany,Email
2023-11-11,Ele-648084,Electronics,10,434.25,333.06,101.19,23.3,C-53161780,Spain,Phone
2022-10-04,Hea-494472,Health,2,478.14,233.95,244.19,51.07,C-29059731,Canada,Email
2022-02-16,Spo-339310,Sports,3,122.17,74.19,47.98,39.27,C-30471554,Netherlands,Social Media
2024-07-14,Clo-672599,Clothing,1,441.89,285.85,156.04,35.31,C-98634937,France,Email
2022-08-04,Hea-489775,Health,18,53.0,28.86,24.14,45.55,C-00841776,Japan,Web
2022-08-18,Aut-682600,Automotive,11,32.57,22.84,9.73,29.87,C-63038086,Portugal,Marketplace
2022-11-19,Fur-101542,Furniture,12,68.97,39.14,29.83,43.25,C-11539117,Switzerland,Social Media
2025-12-15,Mus-524841,Music,1,33.58,16.51,17.07,50.83,C-36175071,Brazil,Phone
2022-08-13,Hea-417734,Health,6,423.28,230.54,192.74,45.53,C-38156171,United States,Marketplace
2025-08-03,Jew-502525,Jewelry,16,34.23,25.6,8.63,25.21,C-27871303,France,Email
2022-02-15,Clo-632669,Clothing,3,139.47,83.83,55.64,39.89,C-98150790,Germany,Phone
2024-11-03,Gar-275756,Garden,17,56.36,30.44,25.92,45.99,C-89039545,Brazil,Web
2023-09-25,Gar-863105,Garden,16,151.23,90.46,60.77,40.18,C-72092825,Austria,Web
2023-01-10,Tra-588747,Travel,11,49.83,27.77,22.06,44.27,C-95815641,Canada,App
2023-12-04,Aut-812236,Automotive,16,335.66,237.13,98.53,29.35,C-45182742,Germany,Web
2024-09-13,Hea-041154,Health,12,71.0,40.58,30.42,42.85,C-18860816,Switzerland,Web
2022-11-29,Hea-695466,Health,1,426.66,213.33,213.33,50.0,C-56265405,Mexico,Phone
2022-06-15,Tra-753401,Travel,11,409.51,225.93,183.58,44.83,C-24896288,Mexico,App
2023-05-22,Off-896615,Office,6,11.76,6.11,5.65,48.04,C-15114461,Denmark,Marketplace
2022-04-27,Off-186218,Office,19,448.38,251.79,196.59,43.84,C-15498051,Norway,Phone
2024-07-31,Tra-140689,Travel,12,19.33,10.69,8.64,44.7,C-71670241,Germany,Marketplace
2023-09-28,Off-146470,Office,2,123.62,66.31,57.31,46.36,C-81747866,Australia,App
2025-08-20,Foo-782059,Food,10,21.03,12.1,8.93,42.46,C-77361430,United Kingdom,Marketplace
2023-04-02,Hea-789125,Health,19,171.24,95.93,75.31,43.98,C-29478850,Spain,Marketplace
2024-05-18,Boo-555259,Books,15,259.36,119.21,140.15,54.04,C-70847463,Italy,Email
2025-07-18,Bea-388777,Beauty,8,399.34,225.03,174.31,43.65,C-74664806,Germany,Social Media
2022-08-04,Jew-198579,Jewelry,11,172.3,136.56,35.74,20.74,C-73217982,Spain,App
2022-04-23,Foo-185626,Food,16,354.22,170.97,183.25,51.73,C-33068412,Poland,App
2024-11-05,Spo-866510,Sports,13,97.81,59.68,38.13,38.98,C-11155161,Netherlands,Email
2022-08-04,Foo-860659,Food,13,376.55,209.4,167.15,44.39,C-57398717,Mexico,Store
2023-03-03,Boo-341134,Books,5,121.82,65.58,56.24,46.17,C-52832921,Canada,Social Media
2025-03-04,Spo-348178,Sports,12,76.05,46.6,29.45,38.72,C-76305274,Belgium,Phone
2024-12-02,Jew-986813,Jewelry,10,96.78,73.4,23.38,24.16,C-00687619,Netherlands,Phone
2024-02-03,Boo-085567,Books,19,95.12,50.93,44.19,46.46,C-19284007,Austria,Marketplace
2022-10-11,Ele-302821,Electronics,17,258.87,202.67,56.2,21.71,C-24439520,Japan,Store
